EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/PathFollowingComponent,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GameplayDebuggerPlayerManager,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait
,12.8085,0.061800,0.012700,0.081700,0.013300,0.028300,0.001800,0.005600,0.002900,0.020500,0.001200,0.002800,0.023400,6.7095,0.3014,0.9124,0.015500,0.3103,0.021500,0.001100,0.003000,0.3130,0.2841,0.001400,0.000900,0.000100,0.007700,0.041000,0.000200,0.002000,0.020500,0.001500,0.001700,0.056500,0.016500,0.000100,5.1371,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.4631,15807.2305,5448.5859,6214.1250,0,21255.8164,0,0,0,0.1321,0,0,0,0,364,215,0,0.089400,0,0,0
,12.7606,0.067700,0.012500,0.1313,0.012600,0.039200,0.001400,0.005700,0.002700,0.025100,0.001300,0.003200,0.019600,0.2873,0.2602,0.7734,0.015500,0.4291,0.020500,0.001100,0.003000,0.3544,0.3446,0.001600,0.000600,0.000100,0.008400,0.042700,0.000300,0.002200,0.019700,0.001500,0.001600,0.059500,0.016000,0.000100,11.6416,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.9277,15807.2305,5448.5859,6214.1250,0,21255.8164,0,0,0,0.1220,0,0,0,0,0,0,0,0,0,0,0
,0.2336,0.053600,0.012900,0.084900,0.009900,0.028300,0.001600,0.006400,0.002600,0.021600,0.001100,0.003000,0.021900,0.2536,0.2479,0.8233,0.015800,0.2177,0.016300,0.000600,0.002000,0.4119,0.4044,0.000900,0.000400,0.000100,0.005600,0.032400,0.000200,0.001900,0.014600,0.001400,0.001400,0.036100,0.011300,0.000100,0.094000,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.9118,15807.2305,5448.5859,6214.1250,0,21255.8164,0,0,1,0.1119,0,0,0,0,0,0,0,0,0,0,0
,12.9614,0.073800,0.013900,0.1066,0.014100,0.032300,0.002000,0.007800,0.003400,0.027100,0.001300,0.004400,0.025700,0.3254,0.2695,0.8599,0.014100,0.4036,0.020400,0.001100,0.002900,0.7235,0.6817,0.001500,0.000800,0.000100,0.008300,0.052200,0.000300,0.002300,0.018800,0.001300,0.001300,0.055300,0.015100,0.000200,11.5838,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.1940,15807.2695,5448.5859,6214.1250,0,21255.8555,0,0,0,0.1580,0,0,0,0,433,305,0,0.1025,0,0,0
,0.2234,0.066100,0.011200,0.1197,0.013600,0.026700,0.001600,0.005400,0.002400,0.019300,0.001100,0.002900,0.019200,0.2594,0.2175,0.7809,0.012700,0.2476,0.017800,0.000800,0.002300,20.2738,20.2590,0.002200,0.000700,0.000200,0.008400,0.041900,0.000300,0.002300,0.019700,0.001600,0.001900,0.060500,0.017400,0.000300,0.083200,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.7914,15807.3281,5448.5859,6214.1250,0,21255.9141,0,0,0,0.1293,19.7986,0,0,0,0,0,0,0,0,0,0
,12.3956,0.058900,0.013100,0.073900,0.011200,0.027400,0.002200,0.006700,0.002500,0.020500,0.001000,0.002100,0.019700,6.6678,0.2791,0.8154,0.014800,0.3569,0.019300,0.000900,0.010500,0.4270,0.4190,0.001300,0.000600,0.000100,0.007000,0.038800,0.000300,0.001900,0.017100,0.001200,0.001400,0.050200,0.014600,0.000100,4.8433,0,0,0,0,46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,46,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1172,15807.4531,5448.5859,6214.1250,0,21256.0391,0,0,1,0.1019,0,0,0,0,0,0,0,0,0,0,0
,0.2665,0.054900,0.011400,0.071700,0.009600,0.025900,0.001600,0.005400,0.002500,0.019100,0.001100,0.002900,0.020000,0.2429,0.2168,0.7567,0.013000,0.2545,0.016000,0.000600,0.001900,1.1261,1.0914,0.001000,0.000500,0.000100,0.006300,0.033500,0.000200,0.001700,0.015400,0.001100,0.001400,0.042300,0.012100,0.000100,0.1778,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.1918,15807.3906,5448.5859,6214.1250,0,21255.9766,0,0,0,0.1246,0,0,0,0,355,296,0,0.077500,0,0,0
,12.3876,0.069000,0.012100,0.1679,0.013400,0.028800,0.001600,0.006200,0.003000,0.023000,0.001300,0.003800,0.028700,0.3678,0.2551,0.8279,0.016000,0.4087,0.021100,0.000900,0.002700,0.3117,3.1069,0.001500,0.000700,0.000100,0.008000,0.050900,0.000200,0.002600,0.037400,0.001600,0.001600,0.078600,0.013300,0.000100,11.1564,0,0,0,0,50,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,50,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.0402,15807.3438,5448.5859,6214.1250,0,21255.9297,0,0,1,0.1807,0,0,2,2,0,0,0,0,0,0,0
,0.3057,0.051800,0.011300,0.065400,0.011100,0.025700,0.001300,0.005200,0.002800,0.017300,0.001100,0.002300,0.018800,0.2843,0.2557,0.8355,0.014500,0.3322,0.019400,0.000800,0.002300,0.4265,0.3912,0.001000,0.000600,0.000100,0.006600,0.034500,0.000300,0.001700,0.017600,0.001200,0.001600,0.043900,0.013100,0.000100,0.1141,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.9098,15807.3516,5448.5859,6214.1250,0,21255.9375,0,0,0,0.1308,0,0,0,0,0,0,0,0,0,0,0
,12.9915,0.075900,0.013900,0.092800,0.013300,0.031700,0.002100,0.007500,0.003100,0.025200,0.001300,0.004500,0.023600,0.3107,0.2533,0.8361,0.015800,0.4293,0.020100,0.001100,0.003000,0.2212,0.2187,0.001400,0.000700,0.000100,0.008300,0.042900,0.000300,0.001700,0.024500,0.001400,0.002000,0.057600,0.015800,0.000200,11.7237,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,28.4912,15807.7305,5448.5859,6214.1250,0,21256.3164,0,0,0,0.1142,0,0,0,0,432,307,0,0.098200,0,0,0
