EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,4.2304,0.074300,0.088200,0.012700,0.1010,0.016000,0.037800,0.002200,0.009700,1.7458,1.7702,0.001600,0.007500,0.032800,1.7710,0.2793,0.2576,0.015000,0.003700,0.3020,0.015000,0.000800,0.002400,0.7462,0.8112,0.001700,0.001200,0.002500,0.017200,0.048100,0.3368,0.2018,0.001800,0.021200,0.001300,0.001600,0.1031,0.013400,0.000100,0,2.0850,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,4,4,0,1,13,0,13,0,0,0,4,0,0,0,0,0,0,0,0.087596,0,22,0,0,0.2714,0.3590,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7834,10560.6719,5546.0703,6281.4453,0,16106.7422,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.1454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1524,0.072600,0.084500,0.015800,0.1129,0.016400,0.074700,0.002500,0.007700,1.8206,1.8427,0.001400,0.006600,0.035600,0.7228,0.2800,0.2470,0.012900,0.003100,0.2971,0.016000,0.000900,0.002500,0.3476,1.3772,0.001500,0.000900,0.003000,0.016100,0.053500,0.6440,0.098100,0.005300,0.020400,0.001500,0.001800,0.097400,0.011200,0.000200,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,1,2,2,46,2,49,0,3,1,1,0,36,4,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1323,0,36,0,0,0.5840,0.7163,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.3740,10562.1758,5546.0703,6281.4453,0,16108.2461,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.070600,0,0,1378,364,0,0.1288,2,0,0,0,0,0,0,0,0,0,0
,3.8087,0.077600,0.083200,0.013600,0.1057,0.016600,0.1330,0.003100,0.010400,1.7795,1.8057,0.001700,0.009000,0.035700,0.7955,0.2949,0.2643,0.014400,0.003600,0.3149,0.015100,0.000600,0.002600,0.2255,0.4326,0.001600,0.001000,0.002400,0.015500,0.1152,0.2914,0.2245,0.001400,0.021600,0.001700,0.001900,0.097100,0.012800,0.000100,0.1061,2.5466,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,46,2,49,0,4,4,4,0,0,14,0,14,1,0,1,4,0,0,0,0,0,0,0,0.085495,0,17,0,0,0.2200,0.3055,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.4018,10559.9180,5546.1328,6281.4453,0,16106.0508,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1781,0.065800,0.055100,0.013000,0.1036,0.016600,0.036800,0.002400,0.008200,1.7197,1.7423,0.001600,0.006200,0.031100,0.4174,0.2934,0.2740,0.015000,0.004600,0.3082,0.014800,0.001100,0.003100,0.2433,0.4746,0.001200,0.001200,0.002300,0.015400,0.1406,0.3999,0.1346,0.001900,0.025700,0.001300,0.002100,0.1183,0.014900,0.000200,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,45,3,49,0,4,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0.1093,0,32,0,0,0.3285,0.4378,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3151,10559.8828,5546.1328,6281.4453,0,16106.0156,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.2187,0.074000,0.096900,0.009800,0.1208,0.017100,0.1164,0.002500,0.007600,1.7803,1.8031,0.001400,0.006700,0.032400,0.9974,0.2618,0.2588,0.013400,0.003100,0.3537,0.021700,0.000600,0.1052,0.3027,0.5342,0.002200,0.001000,0.003400,0.019300,0.062300,0.3268,0.2710,0.002400,0.029800,0.002800,0.002200,0.1182,0.012300,0.000100,0,1.8997,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,4,4,0,0,13,0,13,1,0,2,4,0,0,0,0,0,0,0,0.090506,0,18,0,0,0.2519,0.3424,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6408,10557.0547,5546.1328,6281.4453,0,16103.1875,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,1524,352,0,0.1600,0,0,0,0,0,0,0,0,0,0,0
,0.1417,0.1126,0.057500,0.029600,0.1968,0.024200,0.090200,0.002400,0.008400,1.7338,1.7576,0.002100,0.007400,0.033600,0.4101,0.2708,0.2762,0.016100,0.004200,0.3161,0.013400,0.000600,0.002200,7.8689,8.1504,0.002500,0.001300,0.006100,0.023800,0.061500,0.4680,0.1164,0.001900,0.028800,0.001900,0.002000,0.1562,0.016000,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1289,0,25,0,0,0.3809,0.5098,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.2162,10557.1797,5546.1953,6281.4453,0,16103.3750,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,7.6062,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.9190,0.064900,0.1580,0.013300,0.1115,0.016700,0.047300,0.004400,0.010200,1.7496,1.7779,0.001900,0.008100,0.038400,1.8253,0.3027,0.2555,0.015400,0.003000,0.3451,0.015000,0.000800,0.002700,0.2833,0.4982,0.001600,0.001100,0.002200,0.017800,0.046000,0.7585,0.2826,0.001400,0.022000,0.001400,0.001700,0.1021,0.011400,0.000200,0,2.5596,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,7,7,0,1,313,0,13,0,0,0,7,0,0,0,0,0,0,0,0.1140,0,24,2.8652,0,0.8531,0.9671,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.7496,10554.5781,5546.1953,6281.4453,0,16100.7734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1832,0.073600,0.096400,0.014000,0.1089,0.016300,0.077900,0.002300,0.007000,1.8389,1.8608,0.001900,0.008200,0.037300,0.6777,0.3118,0.2421,0.013800,0.003300,0.3253,0.018800,0.000700,0.002900,1.1629,1.2516,0.001800,0.001100,0.002300,0.014400,0.045000,0.6855,0.1563,0.001800,0.021300,0.001300,0.001900,0.1089,0.013400,0.000200,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,4,4,0,1,400,0,0,0,0,2,4,0,0,0,0,0,0,0,0.1225,0,27,2.9229,0,0.7843,0.9068,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.0796,10554.3438,5546.1953,6281.4453,0,16100.5391,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1273,0,0,2758,365,0,0.1793,0,0,0,0,0,0,0,0,0,0,0
,4.5088,0.073700,0.091300,0.013900,0.1221,0.016800,0.1071,0.002500,0.007800,1.7467,1.7693,0.001300,0.008400,0.030700,0.9046,0.3070,0.2548,0.011500,0.002800,0.3399,0.016200,0.000800,0.002700,1.1558,0.2963,0.001200,0.000900,0.002900,0.016400,0.052800,0.3104,0.2678,0.002500,0.023500,0.001500,0.001800,0.3730,0.013900,0.000100,0.069900,3.0326,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,0,14,0,14,0,0,1,4,0,0,0,0,0,0,0,0.087105,0,22,0,0,0.2406,0.3277,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.3959,10554.2305,5546.1953,6281.4453,0,16100.4258,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1.0794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1574,0.070100,0.046600,0.013100,0.1090,0.016400,0.078700,0.002600,0.007400,1.9398,1.9628,0.002200,0.008700,0.034400,0.8091,0.2818,0.2522,0.015000,0.003400,0.4083,0.021000,0.001200,0.002400,0.5817,0.6660,0.001500,0.001000,0.002800,0.017400,0.052700,0.3673,0.1066,0.001800,0.022300,0.001600,0.002100,0.1150,0.014600,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.096705,0,25,0,0,0.3054,0.4021,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.5909,10557.9805,5546.1953,6281.4453,0,16104.1758,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.1399,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.5043,0.078600,0.087700,0.014700,0.1055,0.016800,0.078100,0.002600,0.008900,1.7854,1.8093,0.001800,0.006400,0.034400,0.7763,0.2605,0.2569,0.013900,0.003100,0.3090,0.022000,0.001200,0.087600,0.1004,0.2429,0.001400,0.001100,0.002900,0.016800,0.046800,0.3185,0.1991,0.001400,0.022700,0.001500,0.001500,0.1461,0.013900,0.000200,0,3.3265,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,0,13,0,13,1,0,1,4,0,0,0,0,0,0,0,0.085611,0,23,0,0,0.2496,0.3352,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.8383,10553.2031,5546.2578,6281.4453,0,16099.4609,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.071700,0,0,3132,351,0,0.3475,0,0,0,0,0,0,0,0,0,0,0
,0.1483,0.074200,0.052400,0.016100,0.1805,0.017200,0.075200,0.002600,0.008300,1.7237,1.7492,0.002200,0.007800,0.035400,0.4427,0.2900,0.3305,0.016100,0.004400,0.2987,0.014500,0.000800,0.003000,8.6295,8.8475,0.002700,0.001300,0.005200,0.024400,0.047100,0.3689,0.1074,0.001400,0.020400,0.001600,0.001600,0.1318,0.019500,0.000300,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1170,0,25,0,0,0.2925,0.4095,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.7887,10554.5586,5546.2578,6281.4453,0,16100.8164,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,8.6227,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.6559,0.085400,0.1287,0.016900,0.1065,0.017000,0.083000,0.002900,0.008600,1.8721,1.8973,0.001500,0.008600,0.037900,2.3976,0.3243,0.2567,0.022900,0.007800,0.2796,0.016500,0.000900,0.002700,0.004600,0.2143,0.001500,0.001200,0.002100,0.014900,0.046600,0.6783,0.2700,0.001800,0.021400,0.001300,0.001500,0.1233,0.013600,0.000100,0,1.8268,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,7,7,0,4,316,0,13,0,0,1,7,0,0,0,0,0,0,0,0.094995,0,24,2.9375,0,0.7648,0.8598,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4229,10556.0938,5546.2578,6281.4453,0,16102.3516,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0.083200,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1611,0.077300,0.057400,0.011600,0.1039,0.018300,0.059100,0.002600,0.006600,1.3459,1.3653,0.001200,0.005200,0.027700,0.6844,0.3543,0.2429,0.017000,0.004100,0.3012,0.014900,0.000800,0.002200,0.005500,0.2487,0.001400,0.001300,0.002200,0.020200,0.076600,0.4355,0.1495,0.002300,0.025900,0.001700,0.002100,0.1748,0.018500,0.000300,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1225,0,24,0,0,0.3565,0.4790,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6805,10554.1211,5546.2578,6281.4453,0,16100.3789,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0.081800,0,0,2860,365,0,0.2268,0,0,0,0,0,0,0,0,0,0,0
,4.4135,0.099700,0.1019,0.012300,0.1123,0.020600,0.1009,0.002300,0.031300,2.0732,2.1241,0.001500,0.007400,0.029700,1.0470,0.2368,0.4654,0.016300,0.003600,0.3872,0.023500,0.001200,0.002700,0.005500,0.2327,0.001500,0.001100,0.002500,0.017300,0.062400,0.5153,0.2688,0.001900,0.024600,0.001500,0.002100,0.1533,0.014800,0.000100,0.083400,3.0366,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,4,4,0,1,14,0,14,0,0,1,4,0,0,0,0,0,0,0,0.1297,0,23,0,0,0.4166,0.5463,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1702,10553.1680,5546.3203,6281.4453,0,16099.4883,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1795,0.073600,0.046000,0.013000,0.095300,0.017400,0.074300,0.002400,0.008400,1.3834,1.4054,0.001500,0.005300,0.027800,0.4915,0.2695,0.3773,0.014800,0.003600,0.3428,0.020000,0.000600,0.002200,0.004400,0.2137,0.001700,0.001000,0.001600,0.013600,0.052200,0.3099,0.099400,0.001800,0.021700,0.001600,0.002600,0.099200,0.015200,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.086196,0,26,0,0,0.2577,0.3439,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4642,10556.4883,5546.3203,6281.4453,0,16102.8086,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.4908,0.085500,0.1591,0.013400,0.1294,0.022700,0.071600,0.002700,0.008700,2.0562,2.0818,0.002600,0.009000,0.043700,1.4126,0.3252,0.4002,0.015200,0.002900,0.3764,0.041400,0.001500,0.084300,0.006700,0.3280,0.002900,0.001700,0.003500,0.021300,0.075700,0.8229,0.4526,0.005400,0.027500,0.001800,0.002300,0.1155,0.015700,0.000300,0,2.8506,0,0,0,0,0,57,0,0,0,0,0,0,1,1,1,1,46,2,49,0,3,5,5,0,35,17,0,13,1,0,1,5,0,0,0,0,0,0,0,0.2123,0,29,0.9629,0,0.9005,1.1128,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.9874,10549.3125,5546.3203,6281.4453,0,16095.6328,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,1246,351,0,0.1431,2,0,0,0,0,0,0,0,0,0,0
,0.1263,0.087100,0.079000,0.018400,0.1506,0.021100,0.1041,0.002800,0.008800,1.8131,1.8384,0.001500,0.006400,0.035800,0.6344,0.2839,0.4662,0.019200,0.003900,0.4097,0.019500,0.000600,0.015500,6.3314,7.6849,0.002000,0.001000,0.005300,0.022700,0.1070,0.5272,0.1045,0.001400,0.024600,0.001700,0.002900,0.1179,0.016200,0.000300,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,46,2,49,0,4,1,1,0,2,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1364,0,32,0,0,0.4560,0.5924,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5654,10549.2344,5546.3203,6281.4453,0,16095.5547,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,6.3235,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.1274,0.054900,0.1557,0.012800,0.083800,0.012700,0.030800,0.002500,0.008900,1.9437,1.9676,0.001600,0.010200,0.040600,2.0753,0.4280,0.5983,0.022300,0.006200,0.2883,0.022100,0.000700,0.002200,0.004100,0.1673,0.001100,0.000600,0.001400,0.012400,0.090900,0.3551,0.1663,0.001100,0.016000,0.001100,0.000900,0.1229,0.014500,0.000100,0,0.1857,0,0,0,0,0,54,0,0,0,0,0,0,1,1,0,0,45,3,49,0,4,4,4,0,0,13,0,13,1,0,0,4,0,0,0,0,0,0,0,0.087399,0,21,0,0,0.2865,0.3739,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.1599,10546.1211,5546.3828,6281.4453,0,16092.5039,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1466,0.095300,0.065300,0.018700,0.094900,0.014000,0.086200,0.003000,0.007200,1.6022,1.6254,0.001700,0.009500,0.036500,0.4723,0.2692,0.3935,0.014100,0.003300,0.3512,0.022400,0.000600,0.002300,0.004000,0.2226,0.001400,0.001100,0.001800,0.013200,0.046300,0.4420,0.093500,0.001600,0.019800,0.001300,0.001700,0.098400,0.012600,0.000100,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.096500,0,27,0,0,0.3989,0.4954,0,1,2,2,12,1,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1464,10548.0117,5546.3828,6281.4453,0,16094.3945,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,1642,365,0,0.1636,0,0,0,0,0,0,0,0,0,0,0
,2.9441,0.072500,0.068200,0.013900,0.1127,0.017000,0.1055,0.002000,0.008100,2.2485,2.2723,0.001300,0.007500,0.035700,0.5879,0.2731,0.5033,0.020900,0.004400,0.5075,0.030300,0.000900,0.002400,0.005800,0.2859,0.002400,0.001000,0.002500,0.018800,0.055200,0.5033,0.1226,0.001900,0.027000,0.001700,0.002000,0.1522,0.015600,0.000200,0.071200,1.9243,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.1255,0,22,0,0,0.4320,0.5575,0,1,2,2,12,1,1,1,0,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5985,10536.7344,5546.3828,6281.4453,0,16083.1172,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
