EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/FlushNet,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,GuLiCommanderPoseDispatch/AttemptedChunks,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,Exclusive/GameThread/HandleRPC,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,5.0196,0.087200,0.3436,0.021300,0.1349,0.021200,0.1941,0.002600,0.013900,2.0680,2.1114,0.002100,0.010800,0.047500,3.2524,0.3226,0.5481,0.019000,0.007000,0.4501,1.4684,0.5548,0.038100,0.000900,0.002900,0.005400,0.2416,0.001400,0.001000,0.002900,0.018500,0.069800,0.9317,0.002100,0.036600,0.001500,0.002500,0.1403,0.019400,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,99,0,8,3,3,0,2,27,0,27,0,0,2,6,0,0,0,0,0,0,0,0.2102,0,28,0,0,0.8316,1.0418,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.2695,4903.8477,5567.0156,6284.2969,0,10470.8633,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.087500,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1897,0.087000,0.086200,0.012100,0.1543,0.023400,0.1320,0.002100,0.008300,2.3201,2.3535,0.001900,0.012500,0.047800,0.5582,0.3503,0.8298,0.025300,0.007900,0.1314,0,0.5870,0.039900,0.001100,0.004300,0.006100,0.3074,0.002500,0.001100,0.003800,0.023100,0.1228,0.5951,0.001500,0.029600,0.001400,0.002100,0.1583,0.014900,0.000300,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,50,2,98,0,8,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1827,0,23,0,0,0.4732,0.6559,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.8230,4899.4922,5567.0781,6284.2969,0,10466.5703,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.9220,0.090600,0.3671,0.011500,0.1149,0.017600,0.090000,0.001800,0.008300,1.5283,1.5495,0.000900,0.006700,0.036000,1.4904,0.3650,0.5406,0.015100,0.006000,0.3857,2.8936,0.4179,0.030800,0.000800,0.002900,0.005100,0.2203,0.001300,0.000900,0.003100,0.017600,0.1531,1.1473,0.002200,0.030400,0.001400,0.004200,0.1594,0.016600,0.000300,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,1,1,49,3,98,0,7,2,3,0,2,26,0,26,1,0,2,5,0,0,0,0,0,0,0,0.2536,0,27,0,0,1.1291,1.3827,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5788,4892.8320,5567.0781,6284.2969,0,10459.9102,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,2306,390,0,0.2924,0,0,0,0,0,0,0,0
,0.1645,0.082700,0.078100,0.013600,0.1156,0.017200,0.093700,0.002000,0.009400,1.8945,1.9237,0.001200,0.007800,0.034200,0.4668,0.3472,0.5988,0.014900,0.004400,0.1172,0,0.5495,0.029200,0.000800,0.002800,0.004200,0.2607,0.001800,0.000800,0.002400,0.017000,0.055100,0.4998,0.001600,0.021700,0.001600,0.001800,0.1227,0.016400,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,97,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1283,0,21,0,0,0.4342,0.5625,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.4162,4886.3359,5567.0781,6284.2969,0,10453.4141,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6.0364,0.092600,0.5055,0.011500,0.1472,0.019600,0.1569,0.002300,0.009400,1.8805,1.9059,0.001700,0.010500,0.039200,2.4210,0.3248,0.7472,0.015300,0.012500,0.4674,3.1225,0.4191,0.069000,0.001800,0.003300,0.007300,0.3847,0.002600,0.001500,0.004000,0.030700,0.095000,2.1372,0.005400,0.047600,0.001400,0.002400,0.1814,0.015800,0.000400,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,4,27,0,27,0,0,2,5,0,0,0,0,0,0,0,0.4272,0,28,0,0,1.9797,2.4069,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.6685,4874.2656,5567.0781,6284.2969,0,10441.3438,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.1098,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1769,0.088100,0.1302,0.020600,0.1566,0.020300,0.083900,0.002700,0.009900,2.2754,2.3035,0.001700,0.010500,0.045700,0.5322,0.4063,0.6961,0.023600,0.004100,0.1566,0,0.4858,0.030100,0.000600,0.078700,7.4202,7.6786,0.002500,0.001000,0.005300,0.027300,0.067700,0.6783,0.002000,0.031300,0.001500,0.001900,0.1475,0.014200,0.000100,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0.1782,0,26,0,0,0.5783,0.7565,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.2962,4868.1445,5567.1406,6284.2969,0,10435.2852,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,7.4151,0,2186,364,0,0.1773,0,0,0,0,0,0,0,0
,4.7512,0.075500,0.2186,0.014000,0.1200,0.018400,0.1109,0.002100,0.007400,1.8090,1.8300,0.001700,0.007700,0.035800,2.3739,0.2861,0.5958,0.018000,0.006900,0.2877,1.8926,0.3250,0.033500,0.000800,0.002500,0.005200,1.1499,0.001500,0.000700,0.003100,0.019600,0.064300,0.6985,0.002700,0.029300,0.001600,0.002100,0.1343,0.017500,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,18,27,0,27,0,0,1,6,0,0,0,0,0,0,0,0.1455,0,33,0,0,0.6458,0.7913,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6147,4866.5703,5567.1406,6284.2969,0,10433.7109,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.076000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2187,0.087600,0.075100,0.018900,0.1594,0.019100,0.088400,0.002600,0.010600,2.1597,2.1893,0.003000,0.014400,0.048600,0.6871,0.4471,0.8654,0.017900,0.007500,0.1006,0,0.6783,0.047700,0.000700,0.002800,0.006600,0.3148,0.002900,0.001300,0.004000,0.032700,0.064400,0.7136,0.001900,0.037900,0.001700,0.002000,0.1491,0.016000,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1568,0,17,0,0,0.6179,0.7747,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.6489,4861.2031,5567.1406,6284.2969,0,10428.3438,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.9442,0.090600,0.2688,0.024500,0.1253,0.020600,0.1249,0.002200,0.012000,2.1162,2.1477,0.001600,0.008400,0.040200,1.6949,0.3253,0.6081,0.018700,0.007200,0.3413,2.7222,0.4137,0.028800,0.000700,0.002300,0.004700,0.2176,0.001500,0.000700,0.002700,0.017700,0.049300,0.6078,0.001500,0.022300,0.001400,0.002100,0.1989,0.013800,0.000100,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,6,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1415,0,26,0,0,0.6050,0.7465,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8226,4852.3672,5567.1523,6284.2969,0,10419.5195,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,2400,386,0,0.1883,0,0,0,0,0,0,0,0
,0.1956,0.085700,0.1403,0.016200,0.1087,0.018500,0.073600,0.002900,0.009100,2.0902,2.1180,0.002000,0.008200,0.045900,1.9546,0.3438,0.4721,0.017500,0.004800,0.1702,0,0.4403,0.025700,0.000700,0.002600,0.006800,0.2649,0.001600,0.002700,0.005000,0.018200,0.063100,0.7601,0.001600,0.029900,0.001300,0.001800,0.1258,0.015600,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,10,2,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1715,0,23.5000,0,0,0.6985,0.8700,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.1155,4846.5977,5567.1758,6284.2969,0,10413.7734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.9765,0.095200,0.2337,0.014300,0.1409,0.023800,0.1587,0.006400,0.017400,2.7008,2.7469,0.001900,0.011700,0.049400,3.6154,0.5509,0.6444,0.023500,0.009600,0.3403,0.5582,0.3790,0.030500,0.000900,0.002500,0.004400,0.2119,0.001400,0.000700,0.002800,0.018800,0.053100,0.5227,0.001800,0.023100,0.001300,0.002100,0.1155,0.013500,0.000100,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,0,27,0,27,0,0,1,6,0,0,0,0,0,0,0,0.1308,0,25,0,0,0.4547,0.5855,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4552,4837.2148,5567.1914,6284.2969,0,10404.4062,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.1464,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2089,0.069500,0.1959,0.014500,0.1447,0.017700,0.1172,0.002400,0.007600,1.9013,1.9258,0.003500,0.013400,0.050000,1.4839,0.4334,0.5376,0.022600,0.006100,0.1337,0,0.6268,0.049000,0.001400,0.1346,6.8620,7.2174,0.001900,0.001200,0.005200,0.024900,0.055000,0.9417,0.004600,0.023600,0.001300,0.001800,0.1191,0.014900,0.000100,0,0,0,0,0,64,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,6,1,1,0,70,9,0,1,1,0,2,2,0,0,0,0,0,0,0,0.2448,0,26.5000,0,0,0.8194,1.0642,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9506,4830.4492,5567.2656,6284.2969,0,10397.7148,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0.063300,6.8534,0,2226,364,0,0.2875,2,0,0,0,0,0,0,0
,5.3103,0.078700,0.4153,0.016800,0.2134,0.022200,0.1097,0.002400,0.012600,2.0816,2.1114,0.003400,0.007800,0.063100,3.3043,0.5074,0.5801,0.023200,0.006400,0.3661,1.1869,0.5478,0.060900,0.001200,0.005600,0.009600,0.5957,0.009800,0.005300,0.008000,0.051700,0.079600,1.9568,0.002500,0.027400,0.001500,0.002500,0.1497,0.013500,0.000200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,10,3,3,0,4,28,0,26,0,0,2,6,0,0,0,0,0,0,0,0.5117,0,24,0,0,1.6936,2.2053,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9843,4820.7578,5567.2656,6284.2969,0,10388.0234,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1616,0.093900,0.1166,0.018700,0.1137,0.019400,0.040500,0.002400,0.010800,2.0377,2.0666,0.001500,0.006700,0.036600,1.3979,0.3047,0.3483,0.015700,0.005500,0.1257,0,0.4388,0.034600,0.000900,0.003900,0.005400,0.3262,0.001600,0.001100,0.003800,0.020100,0.080600,0.8761,0.001700,0.028900,0.001300,0.001800,0.1517,0.015200,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,50,2,100,0,10,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.2101,0,27,0,0,0.7623,0.9724,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3499,4818.2617,5567.2656,6284.2969,0,10385.5273,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.7113,0.072700,0.1797,0.014400,0.1175,0.015400,0.092200,0.002300,0.007600,1.9047,1.9273,0.001800,0.009300,0.042100,1.1972,0.3399,0.4513,0.017500,0.009800,0.1916,2.9817,0.4953,0.036200,0.000600,0.017800,0.004500,0.2711,0.001800,0.000900,0.003000,0.020100,0.1278,0.8530,0.001500,0.024400,0.001000,0.001400,0.1388,0.011100,0.000300,0,0,0,0,0,62,0,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2002,0,25.5000,0,0,0.7974,0.9976,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.3423,4809.6211,5567.3281,6284.2969,0,10376.9492,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,2500,365,0,0.2234,0,0,0,0,0,0,0,0
,0.1864,0.095400,0.2965,0.016900,0.2808,0.021200,0.1985,0.002900,0.011300,2.3985,2.4316,0.002500,0.012700,0.044500,1.5518,0.3378,0.4143,0.015400,0.006000,0.3556,0,0.4510,0.023900,0.000800,0.002300,0.004200,0.4459,0.001600,0.000700,0.003000,0.040500,0.1292,0.9526,0.002500,0.031300,0.001600,0.001600,0.1831,0.016100,0.046200,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,50,2,100,0,9,3,3,0,1,28,0,27,1,0,2,6,0,0,0,0,0,0,0,0.3534,0,23.5000,0,0,0.7787,1.1321,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.8855,4804.6445,5567.3281,6284.2969,0,10371.9727,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0.1093,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2423,0.084100,0.1293,0.017000,0.1305,0.022700,0.040500,0.002700,0.012300,1.5952,1.6243,0.002500,0.008000,0.042400,1.6337,0.3136,0.4153,0.010100,0.004100,0.1517,2.8112,0.4153,0.043000,0.000900,0.004700,0.005000,0.2954,0.002000,0.001000,0.003200,0.023000,0.062700,0.8044,0.001600,0.025800,0.003400,0.002000,0.1185,0.014700,0.000200,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,0,50,2,100,0,8,1,1,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0.1973,0,26.5000,0,0,0.7086,0.9059,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.8134,4794.8203,5567.3281,6284.2969,0,10362.1484,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.2188,0.086700,0.2458,0.016200,0.1516,0.021000,0.1486,0.002400,0.009800,2.2471,2.2742,0.001500,0.011100,0.043900,2.2068,0.4426,0.4113,0.025600,0.006500,0.3402,0,0.4933,0.029500,0.000900,0.075800,7.1620,7.3935,0.002000,0.000900,0.005200,0.026700,0.1732,0.7428,0.003600,0.023000,0.001400,0.001800,0.1257,0.015000,0.000200,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,1,1,50,2,98,0,8,3,3,0,2,27,0,27,1,0,2,6,0,0,0,0,0,0,0,0.1945,0,27.5000,0,0,0.6303,0.8248,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0767,4787.2070,5567.3906,6284.2969,0,10354.5977,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0.1065,7.1553,0,2452,394,0,0.2501,0,0,0,0,0,0,0,0
,4.0075,0.079800,0.2416,0.017300,0.1293,0.020700,0.080100,0.003300,0.013900,1.9804,2.0130,0.002000,0.009400,0.052500,3.2003,0.4604,0.4898,0.026600,0.006200,0.3545,0.5615,0.5015,0.046700,0.000900,0.003200,0.006900,0.2801,0.001900,0.000900,0.006000,0.022600,0.088100,1.0932,0.004400,0.039600,0.002100,0.002800,0.1802,0.018100,0.000400,0,0,0,0,0,61,0,0,26,0,0,0,0,2,2,1,1,48,4,98,0,6,3,3,0,2,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.2461,0,20.5000,0,0,0.9687,1.2148,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.3404,4779.7773,5567.3906,6284.2969,0,10347.1680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1664,0.088100,0.085700,0.016300,0.1223,0.021800,0.098100,0.002700,0.011000,1.9374,1.9667,0.001500,0.008900,0.041800,0.8986,0.3013,0.3751,0.018900,0.006100,0.099800,0,0.4015,0.030200,0.000700,0.002900,0.004300,0.2605,0.001600,0.001000,0.002400,0.018500,0.057000,0.6724,0.001900,0.024700,0.001700,0.002000,0.1368,0.017000,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,98,0,6,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1636,0,27,0,0,0.5805,0.7441,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3717,4776.5312,5567.3906,6284.2969,0,10343.9219,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.4855,0.074900,0.2788,0.010300,0.1865,0.020300,0.1111,0.002200,0.007700,2.1108,2.1326,0.001600,0.009800,0.072300,3.0108,0.3913,0.6547,0.022100,0.007400,0.3406,2.0354,0.3891,0.046400,0.001200,0.003600,0.006900,0.2710,0.002200,0.001100,0.004000,0.025400,0.065400,0.9129,0.002200,0.027500,0.001600,0.001900,0.1279,0.014500,0.000100,0,0,0,0,0,62,0,0,26,0,0,0,0,2,2,0,1,48,4,96,0,6,2,3,0,2,26,0,26,0,0,1,5,0,0,0,0,0,0,0,0.3704,0,22.5000,0,0,0.6676,1.0380,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.2709,4764.0273,5567.3906,6284.2969,0,10331.4180,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,1,0,0,0,0,2290,386,0,0.1982,0,0,0,0,0,0,0,0
,0.1696,0.078400,0.1140,0.014500,0.1045,0.019100,0.074100,0.002100,0.009400,1.3801,1.4037,0.001200,0.004900,0.031500,1.2012,0.2534,0.3642,0.013700,0.004500,0.1596,0,0.4685,0.024900,0.000700,0.002400,0.005300,0.2506,0.001700,0.000800,0.002200,0.020300,0.066100,0.8747,0.001700,0.028700,0.001400,0.001400,0.1211,0.011600,0.000100,0,0,0,0,0,61,0,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,1,1,0,2,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0.1870,0,28,0,0,0.7769,0.9639,0,1,2,3,12,1,2,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.5261,4761.2305,5567.4531,6284.2969,0,10328.6836,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
