EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/Pathfinding,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,PackageMap/NetGuidExports,Exclusive/GameThread/EventWait
,6.5564,0.072200,0.1187,0.013500,0.1106,0.016700,0.094700,0.002700,0.008000,2.0730,2.0988,0.002100,0.008700,0.042300,0.5340,0.2986,0.7845,0.020000,0.007100,5.1688,0.4227,0.023800,0.001000,0.003100,0.004800,0.2847,0.001500,0.000900,0.002500,0.017500,0.063100,0.7222,0.1638,0.002200,0.029700,0.002500,0.002200,0.1376,0.031500,0.000200,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1797,0,21.5000,0,0,0.6278,0.8075,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.8725,5574.4727,5505.9570,6215.8164,0,11080.4297,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1700,0.074000,0.3594,0.009500,0.1297,0.017900,0.1066,0.002500,0.007400,2.2982,2.3192,0.001800,0.008600,0.046100,2.0750,0.3337,0.6635,0.018500,0.008700,0,0.4292,0.037000,0.000600,0.083500,0.006200,0.3060,0.003600,0.003400,0.004100,0.023200,0.057700,1.3620,0.2740,0.005500,0.035600,0.001200,0.002200,0.1357,0.016500,0.000300,0.087200,0,0,0,0,0,0,64,0,0,0,0,0,0,2,2,1,2,50,2,100,0,6,3,3,0,68,35,0,27,1,0,2,6,0,0,0,0,0,0,0,0.2858,0,28,0,0,1.2359,1.5217,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.3194,5574.5977,5505.9570,6215.8164,0,11080.5547,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,5.1730,0.081900,0.2619,0.014600,0.1228,0.019100,0.1190,0.002800,0.007700,1.7306,1.7553,0.001300,0.006600,0.039400,1.3569,0.3672,0.5523,0.018300,0.007500,2.7694,0.4200,0.020700,0.000800,0.002700,0.004400,0.2279,0.002100,0.001000,0.003300,0.021000,0.1403,0.8583,0.3412,0.002100,0.032800,0.001600,0.002500,0.1379,0.014100,0.000400,0.1052,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,2,50,2,100,0,8,3,3,0,5,28,0,27,1,0,3,6,0,0,0,0,0,0,0,0.2029,0,20.5000,0,0,0.7510,0.9539,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0025,5570.9648,5505.9570,6215.8164,0,11076.9219,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,2286,361,0,0.1728,0,0,0,0,0,0,0,0,0,0
,0.1641,0.094000,0.1469,0.019900,0.1540,0.019800,0.095200,0.002600,0.008700,2.3344,2.3587,0.001800,0.010700,0.046700,1.1102,0.3366,0.5706,0.019400,0.006900,0,0.3825,0.034700,0.000700,0.002700,8.2732,8.5777,0.001900,0.001100,0.005300,0.031800,0.1500,0.9141,0.1297,0.002000,0.050800,0.001500,0.002200,0.1559,0.016900,0.000300,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,9,1,1,0,1,1,0,0,1,0,2,2,0,0,0,0,0,0,0,0.2144,0,27.5000,0,0,0.8110,1.0254,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.4550,5573.6094,5505.9570,6215.8164,0,11079.5664,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,8.2659,0,0,0,0,0,0,0,0,0
,6.3569,0.077700,0.2458,0.014500,0.1126,0.019000,0.082300,0.002900,0.008500,2.4196,2.4436,0.001900,0.010000,0.044200,2.7368,0.3743,0.5805,0.020700,0.009100,2.6105,0.4177,0.027100,0.001000,0.002600,0.004200,0.2555,0.001600,0.000900,0.002400,0.019600,0.063900,0.6970,0.3088,0.002400,0.060800,0.001700,0.002000,0.1348,0.012100,0.000200,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,1,50,2,99,0,8,2,3,0,1,27,0,26,0,0,2,5,0,0,0,0,0,0,0,0.1655,0,19.5000,0,0,0.6175,0.7830,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6891,5570.2070,5505.9570,6215.8164,0,11076.1641,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1767,0.074000,0.2548,0.011300,0.2141,0.028800,0.1918,0.002400,0.007400,2.3202,2.3418,0.001300,0.007900,0.036600,0.5568,0.3629,0.5206,0.021600,0.023700,0,0.3564,0.026200,0.000500,0.002000,0.006400,1.4624,0.002300,0.001200,0.003800,0.027800,0.070000,1.1737,0.1460,0.002900,0.032500,0.001500,0.002100,0.1809,0.013600,0.000200,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,1,1,0,16,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2584,0,36,0,0,1.1354,1.3938,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9624,5571.3594,5505.9570,6215.8164,0,11077.3164,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,2294,390,0,0.3214,0,0,0,0,0,0,0,0,0,0
,6.1697,0.076600,0.1853,0.010500,0.1198,0.018700,0.1067,0.002500,0.007200,1.3795,1.3989,0.001700,0.006600,0.035800,1.4889,0.2755,0.4880,0.013100,0.006600,4.4539,0.4815,0.027300,0.001000,0.002600,0.005900,0.3386,0.002000,0.001000,0.003600,0.023400,0.1765,0.6838,0.2531,0.002000,0.038800,0.001600,0.001900,0.1536,0.019200,0.000200,0.091000,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,98,0,8,3,3,0,2,27,0,27,1,0,2,6,0,0,0,0,0,0,0,0.1657,0,19,0,0,0.5771,0.7428,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8435,5568.2148,5505.9570,6215.8164,0,11074.1719,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1592,0.079100,0.1540,0.015400,0.1265,0.017500,0.078300,0.002100,0.007300,2.1652,2.1890,0.003000,0.011300,0.057500,0.6325,0.3315,0.6240,0.017000,0.007200,0,0.3827,0.026700,0.000700,0.091800,0.005500,0.2982,0.001800,0.001100,0.002800,0.022700,0.072900,0.8103,0.1068,0.001800,0.022200,0.001500,0.002300,0.1568,0.012600,0.000400,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,2,48,4,98,0,6,1,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0.1926,0,30,0,0,0.7041,0.8967,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.9667,5568.6719,5505.9570,6215.8164,0,11074.6289,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.4736,0.080100,0.2162,0.014200,0.1288,0.020500,0.1542,0.004500,0.008600,2.3855,2.4154,0.001700,0.011900,0.048400,1.9330,0.3584,0.6357,0.021000,0.009200,0.9475,0.4728,0.026900,0.000800,0.004100,0.005000,0.2679,0.002400,0.000900,0.002800,0.021700,0.058200,0.6655,0.3440,0.003900,0.026100,0.001500,0.001500,0.1530,0.014100,0.000300,0.099600,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,2,3,0,0,27,0,27,0,0,2,5,0,0,0,0,0,0,0,0.1671,0,19,0,0,0.5738,0.7409,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.2446,5571.8828,5505.9570,6215.8164,0,11077.8398,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,2402,364,0,0.2822,0,0,0,0,0,0,0,0,0,0
,0.1560,0.1081,0.1853,0.028900,0.1592,0.020400,0.078900,0.003100,0.007700,2.3153,2.3401,0.001800,0.010800,0.045500,0.5946,0.4384,0.6249,0.018300,0.006300,0,0.3478,0.029200,0.000600,0.003100,9.2132,9.5127,0.002400,0.001700,0.006100,0.034800,0.064300,0.9164,0.1461,0.002500,0.084100,0.001800,0.002000,0.1567,0.015200,0.000300,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,2,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2261,0,24,0,0,0.8396,1.0657,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.3993,5568.9023,5505.9570,6215.8164,0,11074.8594,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,9.2065,0,0,0,0,0,0,0,0,0
,6.5244,0.055000,0.2049,0.013300,0.085500,0.013500,0.067500,0.003000,0.009000,2.1783,2.2045,0.001900,0.009700,0.046400,2.4983,0.3675,0.6157,0.017800,0.008600,3.0468,0.4419,0.019800,0.000800,0.002500,0.004600,0.2131,0.001200,0.000800,0.002500,0.015900,0.043900,0.6920,0.2960,0.001300,0.020000,0.001200,0.001100,0.1733,0.018000,0.000400,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,0,1,48,4,96,0,6,3,3,0,2,26,0,26,0,0,1,6,0,0,0,0,0,0,0,0.1567,0,27,0,0,0.6102,0.7669,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.4683,5565.1445,5505.9570,6215.8164,0,11071.1016,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1895,0.083800,0.1978,0.016100,0.1199,0.018900,0.091200,0.003000,0.008100,2.3135,2.3393,0.002100,0.011400,0.044000,1.2183,0.4294,0.6263,0.024800,0.007300,0,0.3946,0.028000,0.000800,0.002800,0.005200,0.2621,0.001600,0.001100,0.003400,0.021100,0.063400,0.8742,0.1472,0.002200,0.027400,0.001500,0.002000,0.1385,0.016200,0.000200,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,1,1,0,10,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0.2060,0,25,0,0,0.8382,1.0442,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.6784,5568.0273,5505.9570,6215.8164,0,11073.9844,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,2254,390,0,0.2588,0,0,0,0,0,0,0,0,0,0
,4.6089,0.074800,0.2372,0.012700,0.1080,0.031800,0.1301,0.002700,0.009600,2.2479,2.2758,0.001600,0.009400,0.046600,1.4238,0.3437,0.3465,0.019400,0.007800,2.5116,0.2994,0.022400,0.000900,0.002300,0.004900,0.2777,0.001800,0.001000,0.002700,0.020600,0.051200,0.7568,0.3091,0.001600,0.021500,0.001200,0.001700,0.1158,0.016400,0.000100,0.089900,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,27,0,27,0,0,2,6,0,0,0,0,0,0,0,0.1892,0,28.5000,0,0,0.6614,0.8506,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0156,5563.1836,5505.9570,6215.8164,0,11069.1406,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1844,0.081400,0.1096,0.016900,0.1308,0.015300,0.1232,0.003700,0.008500,2.3971,2.4259,0.004000,0.019600,0.062700,1.1032,0.3449,0.3531,0.019500,0.006400,0,0.2932,0.033800,0.001200,0.099800,0.006400,0.2765,0.002200,0.000900,0.002700,0.019900,0.072100,0.5286,0.1425,0.001400,0.026200,0.001600,0.001600,0.1556,0.016600,0.000300,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,0,0,0,0,1,0,3,2,0,0,0,0,0,0,0,0.1302,0,17.5000,0,0,0.4440,0.5742,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5949,5565.2109,5505.9570,6215.8164,0,11071.1680,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.4776,0.079400,0.2294,0.014800,0.1151,0.017900,0.088500,0.002700,0.008200,2.1903,2.2161,0.001900,0.010400,0.049100,1.2960,0.3574,0.3561,0.019500,0.008600,3.5702,0.3641,0.020700,0.000900,0.002300,0.004400,0.2540,0.002700,0.001100,0.003100,0.020900,0.070100,0.6431,0.4398,0.002900,0.029100,0.001500,0.001900,0.1374,0.012800,0.000300,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,48,4,96,0,6,3,3,0,0,26,0,26,0,0,2,6,0,0,0,0,0,0,0,0.1525,0,26,0,0,0.5692,0.7217,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9350,5565.2578,5505.9570,6215.8164,0,11071.2148,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,2094,364,0,0.2788,0,0,0,0,0,0,0,0,0,0
,0.1623,0.092300,0.1383,0.011500,0.1533,0.020300,0.1341,0.003100,0.008900,2.2548,2.2811,0.002200,0.009900,0.046100,0.5525,0.3913,0.3423,0.019900,0.006900,0,0.2843,0.018500,0.000600,0.002600,8.3559,8.6311,0.002200,0.001500,0.006800,0.032300,0.074000,0.9178,0.1705,0.002700,0.033700,0.001700,0.002100,0.1452,0.016200,0.000200,0.089800,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,2,48,4,96,0,6,1,1,0,0,1,0,1,0,0,3,2,0,0,0,0,0,0,0,0.2371,0,27.5000,0,0,0.7884,1.0255,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.0373,5569.1719,5505.9570,6215.8164,0,11075.1289,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,8.3489,0,0,0,0,0,0,0,0,0
,6.5862,0.070400,0.3033,0.018700,0.1037,0.014300,0.082700,0.003800,0.010000,2.3944,2.4256,0.001500,0.012600,0.050700,3.1518,0.2943,0.3487,0.016100,0.008500,3.3223,0.2928,0.012100,0.000600,0.001700,0.004700,0.3331,0.002000,0.001100,0.002500,0.016000,0.039200,0.9106,0.2729,0.003600,0.021400,0.001500,0.000800,0.1075,0.013900,0.000100,0,0,0,0,0,0,0,64,0,0,0,0,0,0,2,2,0,1,50,2,100,0,6,3,3,0,70,34,0,26,1,0,1,6,0,0,0,0,0,0,0,0.1886,0,25,0,0,0.8830,1.0716,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,64,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1543,5579.0195,5505.9570,6215.8164,0,11084.9766,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,2,0,0,0,0,0,0,0
,6.3731,0.077400,0.1025,0.015300,0.1124,0.018200,0.096300,0.003300,0.009200,2.2746,2.3021,0.002100,0.009600,0.046900,0.6034,0.3882,0.3584,0.019900,0.006800,5.2489,0.3401,0.015100,0.000800,0.003000,0.004500,0.2516,0.001400,0.000900,0.002700,0.019500,0.063300,0.6498,0.1723,0.002700,0.030100,0.001700,0.002200,0.1501,0.017900,0.000200,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,1,1,0,2,2,0,0,0,0,2,2,0,0,0,0,0,0,0,0.1475,0,24,0,0,0.5805,0.7280,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.9378,5582.1641,5505.9570,6215.8164,0,11088.1211,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,2698,391,0,0.3086,0,0,0,0,0,0,0,0,0,0
,0.1691,0.079300,0.2141,0.015100,0.1214,0.017700,0.1367,0.003200,0.009000,2.1821,2.2089,0.002100,0.009600,0.040200,1.7449,0.3948,0.3457,0.019500,0.008000,0,0.3610,0.021100,0.000500,0.002700,0.005200,0.2767,0.002600,0.000900,0.002900,0.019700,0.063000,0.8055,0.2917,0.001900,0.028300,0.001600,0.002500,0.1481,0.017800,0.000300,0.091500,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,1,1,50,2,100,0,10,3,3,0,0,27,0,27,0,0,2,6,0,0,0,0,0,0,0,0.1907,0,25.5000,0,0,0.7025,0.8932,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3439,5579.9805,5505.9570,6215.8164,0,11085.9375,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,6.5100,0.087000,0.1397,0.013500,0.1276,0.021300,0.1064,0.003500,0.011200,1.4915,1.5215,0.001700,0.008000,0.045300,0.5844,0.3584,0.3475,0.021700,0.007500,5.6138,0.2953,0.025700,0.000600,0.1139,0.005500,0.2743,0.002000,0.001100,0.003200,0.020200,0.1617,0.6670,0.1608,0.002100,0.029200,0.001400,0.002000,0.1362,0.017400,0.000100,0,0,0,0,0,0,0,62,0,0,0,0,0,0,2,2,1,2,50,2,100,0,10,1,1,0,2,2,0,0,1,0,3,2,0,0,0,0,0,0,0,0.1525,0,26.5000,0,0,0.5868,0.7393,0,1,2,3,12,1,2,1,1,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,62,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.0611,5582.4336,5505.9570,6215.8164,0,11088.3906,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1846,0.072600,0.2946,0.012800,0.1439,0.016900,0.077500,0.002500,0.007700,2.3251,2.3488,0.002500,0.011200,0.046200,2.1214,0.3683,0.3722,0.021200,0.009700,0,0.3697,0.018100,0.000700,0.002300,8.6263,9.8833,0.002300,0.001200,0.005600,0.027800,0.072000,1.0935,0.3659,0.003400,0.032400,0.001700,0.002400,0.1725,0.014100,0.000200,0,0,0,0,0,0,0,61,0,0,0,0,0,0,2,2,0,1,50,2,100,0,8,3,3,0,20,26,0,26,0,0,1,6,0,0,0,0,0,0,0,0.2464,0,33.5000,0,0,0.9889,1.2353,0,1,2,3,12,1,2,1,0,2,2,2,1,2,4,2,4,2,2,4,2,2,6,1,1,61,25,240,334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.0431,5582.0195,5505.9570,6215.8164,0,11087.9766,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,26,2158,364,0,0.2588,8.6191,0,0,0,0,0,0,0,0,0
