EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/NetworkProfiler,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/PlayerControllerTick,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Exclusive/GameThread/FlushNet,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/HandleRPC,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,ReplicationRPCs/ServerAcknowledgePoseBlocks,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/SpringArmComponent,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderCameraPawn,Ticks/GuLiCommanderNetSyncComponent,Ticks/GuLiCommanderPlayerController,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiEngineeringCrowdFollowingComponent,Ticks/GuLiEngineeringAIController,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/GuLiTeleportInputComponent,Ticks/GuLiWingmanRelayComponent,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,Trace/MemoryUsedMb,Trace/BlockPoolMb,Trace/FixedBuffersMb,Trace/SharedBuffersMb,Trace/CacheMb,RHI/DrawCalls,RHI/PrimitivesDrawn,GuLiCommanderPoseDispatch/AttemptedChunks,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingShieldComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/EndOfFrameUpdates,Exclusive/GameThread/GarbageCollection,GC/Count,Exclusive/GameThread/DeleteLinkers,Exclusive/GameThread/LogFlush,Exclusive/GameThread/ActorDestroying,Exclusive/GameThread/ActorSpawning,FMsgLogf/FMsgLogfCount,Exclusive/GameThread/EventWait
,3.9263,0.068200,0.081900,0.008200,0.090100,0.015100,0.055400,0.002200,0.006400,1.6687,1.6876,0.001300,0.007300,0.034300,1.0384,0.2165,0.1458,0.014500,0.002700,0.3918,0.023700,0.000600,0.002600,0.004700,0.2144,0.001600,0.000800,0.001800,0.016400,0.048000,0.3529,0.1952,0.001400,0.022100,0.001600,0.001600,0.1006,0.013700,0.000200,0,2.6125,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.094905,0,22,0,0,0.2812,0.3761,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.0757,7669.1992,5565.2852,6279.2500,0,13234.4844,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1504,0.069800,0.045200,0.014400,0.1238,0.015600,0.069500,0.002500,0.006600,1.9739,1.9952,0.001600,0.007900,0.039500,0.8136,0.2751,0.1486,0.019600,0.003800,0.3002,0.028600,0.000800,0.002700,5.9943,6.2016,0.001800,0.001000,0.004100,0.021600,0.048300,0.3037,0.096700,0.001600,0.020700,0.001500,0.001800,0.1189,0.011400,0.000200,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.089299,0,21,0,0,0.2484,0.3377,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.5104,7669.0117,5565.2852,6279.2500,0,13234.2969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,5.9891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.9154,0.066500,0.1324,0.013000,0.098100,0.016200,0.036300,0.002600,0.008500,1.9471,1.9702,0.001900,0.007400,0.040600,2.5798,0.3974,0.2358,0.019600,0.005500,0.3945,0.024200,0.000600,0.061800,0.004200,0.1937,0.001400,0.001000,0.002100,0.015500,0.044400,0.3556,0.1738,0.001600,0.019800,0.001600,0.001600,0.3122,0.014300,0.000100,0,2.0242,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,0,44,4,47,0,3,3,3,0,2,13,0,13,1,0,0,3,0,0,0,0,0,0,0,0.084095,0,24,0,0,0.3369,0.4210,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.6170,7668.9883,5565.2852,6279.2500,0,13234.2734,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1334,364,0,0.1415,0,0,0,0,0,0,0,0,0,0,0
,0.1446,0.069100,0.049200,0.012800,0.093100,0.015100,0.070500,0.002400,0.007400,1.9720,1.9938,0.001300,0.006500,0.036800,0.6973,0.2558,0.1524,0.014000,0.002900,0.2637,0.024800,0.000600,0.002400,0.004200,0.2206,0.001300,0.000900,0.002200,0.014300,0.048000,0.3712,0.094200,0.001400,0.019800,0.001500,0.001800,0.096300,0.012500,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.090003,0,24,0,0,0.3194,0.4094,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.9396,7668.8594,5565.2852,6279.2500,0,13234.1445,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,3.8471,0.068300,0.089700,0.012400,0.1063,0.016100,0.1000,0.002300,0.007000,1.9687,1.9896,0.001800,0.007400,0.038700,1.5984,0.2812,0.1628,0.014400,0.002800,0.4475,0.032600,0.000700,0.002700,0.005400,0.2800,0.001900,0.001000,0.002500,0.019100,0.051600,0.4179,0.2089,0.001700,0.022200,0.001400,0.001700,0.098900,0.011900,0.000100,0.073100,2.1027,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,14,0,14,0,0,1,3,0,0,0,0,0,0,0,0.1191,0,24,0,0,0.3236,0.4427,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.4239,7668.7656,5565.2852,6279.2500,0,13234.0508,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1537,0.071600,0.071200,0.015700,0.1083,0.017500,0.081500,0.002200,0.006600,1.8339,1.8556,0.001200,0.007000,0.034500,1.0345,0.2425,0.1425,0.013600,0.002800,0.2384,0.022500,0.000600,0.001200,0.004800,0.2181,0.001700,0.000900,0.001900,0.014700,0.042600,0.4956,0.092100,0.004200,0.017600,0.001600,0.001200,0.099300,0.013100,0.000100,0,0,0,0,0,0,0,57,0,0,0,0,0,0,1,1,1,1,46,2,49,0,3,1,1,0,34,4,0,0,1,0,1,1,0,0,0,0,0,0,0,0.1080,0,25,0,0,0.4480,0.5560,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.9746,7668.6758,5565.2852,6279.2500,0,13233.9609,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,1,0,0,0,1372,364,0,0.1669,2,0,0,0,0,0,0,0,0,0,0
,4.0845,0.061200,0.086600,0.013300,0.092200,0.014100,0.067300,0.002400,0.006900,1.9596,1.9813,0.001700,0.006000,0.037900,1.6049,0.3111,0.2098,0.015800,0.003600,0.4684,0.028300,0.000700,0.002200,0.004200,0.1890,0.001500,0.001100,0.002000,0.013500,0.1015,0.3570,0.1569,0.001300,0.018400,0.001200,0.001200,0.096400,0.014900,0.000100,0,2.2063,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,46,2,49,0,4,3,3,0,1,13,0,13,1,0,1,3,0,0,0,0,0,0,0,0.093598,0,25,0,0,0.2877,0.3813,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.2345,7668.3750,5565.2852,6279.2500,0,13233.6602,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1118,0.066500,0.080700,0.011000,0.1200,0.017400,0.074200,0.001800,0.006600,1.2940,1.3134,0.001500,0.008300,0.039700,0.7092,0.2634,0.1543,0.014300,0.003000,0.2642,0.024300,0.000400,0.002300,6.8776,7.9583,0.002000,0.000900,0.003900,0.020100,0.1096,0.5827,0.1149,0.001500,0.027100,0.001400,0.001700,0.1129,0.014100,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,45,3,48,0,4,1,1,0,9,0,0,0,1,0,2,1,0,0,0,0,0,0,0,0.1306,0,34,0,0,0.5198,0.6504,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5611,7667.1758,5565.2852,6279.2500,0,13232.4609,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,6.8728,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.2293,0.068500,0.081500,0.011800,0.087600,0.015000,0.031000,0.002200,0.008900,1.8941,1.9179,0.001600,0.005700,0.035100,2.1768,0.2442,0.1466,0.014900,0.002400,0.4742,0.026000,0.000700,0.061400,0.005000,0.2057,0.001500,0.000800,0.002600,0.015600,0.046100,0.2652,0.2055,0.001600,0.022500,0.001400,0.001600,0.097400,0.011400,0.000100,0,2.6952,0,0,0,0,0,55,0,0,0,0,0,0,1,1,0,0,44,4,48,0,3,3,3,0,0,13,0,13,1,0,0,3,0,0,0,0,0,0,0,0.075590,0,18,0,0,0.2017,0.2773,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3937,7667.1680,5565.2852,6279.2500,0,13232.4531,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1564,352,0,0.3282,0,0,0,0,0,0,0,0,0,0,0
,0.1580,0.067500,0.049000,0.012800,0.095000,0.014300,0.077300,0.002300,0.007300,2.0261,2.0494,0.001500,0.007900,0.036200,0.9163,0.2987,0.1555,0.015500,0.003300,0.2713,0.028000,0.000700,0.002500,0.004200,0.1853,0.001300,0.000800,0.002300,0.013600,0.043600,0.3273,0.073600,0.001400,0.019000,0.001300,0.001400,0.095200,0.013400,0.000200,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.086296,0,26,0,0,0.2794,0.3657,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.3856,7667.1211,5565.2852,6279.2500,0,13232.4062,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.8909,0.066400,0.050800,0.013500,0.094900,0.015000,0.1070,0.002300,0.006700,1.8688,1.8903,0.001400,0.008800,0.036200,1.0180,0.2511,0.1499,0.014800,0.002900,0.4218,0.024600,0.000500,0.002500,0.004600,0.2087,0.001400,0.000900,0.002000,0.016200,0.044400,0.3696,0.071900,0.001700,0.021100,0.001500,0.001700,0.094000,0.013600,0.000200,0.072800,3.7143,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,1,1,0,1,0,0,2,1,0,0,0,0,0,0,0,0.094302,0,24,0,0,0.3151,0.4094,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.6628,7667.3164,5565.2852,6279.2500,0,13232.6016,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1701,0.068900,0.082900,0.013800,0.093600,0.014800,0.066300,0.002500,0.006100,1.7893,1.8103,0.001300,0.007800,0.041300,1.5238,0.2924,0.1639,0.014100,0.003000,0.2743,0.025600,0.000600,0.002100,0.004300,0.1863,0.001100,0.000900,0.001500,0.013300,0.043800,0.3319,0.1910,0.001700,0.019100,0.001200,0.001500,0.099900,0.012700,0.000100,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,1,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.087693,0,24,0,0,0.2663,0.3540,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.5066,7667.1289,5565.2852,6279.2500,0,13232.4141,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1204,351,0,0.1652,0,0,0,0,0,0,0,0,0,0,0
,4.9209,0.063000,0.051200,0.013800,0.099000,0.015700,0.072100,0.002300,0.007200,1.7547,1.7772,0.001700,0.007400,0.036500,0.7927,0.2998,0.1722,0.014100,0.003100,0.5086,0.031200,0.000900,0.002300,0.005500,0.2607,0.002000,0.001100,0.002200,0.017300,0.044000,0.4155,0.1026,0.001500,0.021300,0.001500,0.001500,0.1007,0.013900,0.000100,0,3.9393,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.1248,0,29,0,0,0.3304,0.4552,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.9590,7667.2070,5565.2852,6279.2500,0,13232.4922,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1522,0.065800,0.080100,0.012200,0.1107,0.015400,0.055900,0.002400,0.006800,1.7632,1.7843,0.001900,0.007400,0.035400,1.0367,0.2547,0.1552,0.014100,0.002900,0.2779,0.024600,0.000600,0.002200,6.0124,6.2089,0.001700,0.000800,0.004000,0.020500,0.046600,0.3744,0.1788,0.001400,0.021900,0.001500,0.001300,0.1201,0.016000,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.1114,0,18,0,0,0.2828,0.3942,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.7064,7667.1953,5565.2852,6279.2500,0,13232.4805,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,6.0068,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.0916,0.071000,0.1313,0.009200,0.091000,0.015500,0.053300,0.002000,0.006200,1.4430,1.4620,0.001300,0.007400,0.036100,2.4777,0.2396,0.1498,0.014700,0.002500,0.3921,0.027800,0.000700,0.056100,0.004500,0.2129,0.001500,0.000700,0.002000,0.014200,0.053100,0.3824,0.1870,0.002200,0.024900,0.001500,0.001900,0.1585,0.021900,0.000200,0,1.5748,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,1,13,0,13,1,0,1,3,0,0,0,0,0,0,0,0.093892,0,28,0,0,0.3517,0.4456,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.7780,7667.0117,5565.2852,6279.2500,0,13232.2969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1336,364,0,0.1463,0,0,0,0,0,0,0,0,0,0,0
,0.1298,0.064600,0.046000,0.013700,0.093300,0.013800,0.076800,0.002800,0.008100,2.1282,2.1547,0.001100,0.007300,0.037800,0.7014,0.2623,0.1421,0.014400,0.003700,0.2408,0.023000,0.000700,0.001900,0.004200,0.1898,0.001200,0.000900,0.001500,0.012500,0.041000,0.2923,0.083300,0.001300,0.018800,0.001400,0.001300,0.1016,0.013800,0.000100,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,2,2,44,4,47,0,3,1,1,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0.076305,0,17,0,0,0.2520,0.3283,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.3171,7666.9492,5565.2852,6279.2500,0,13232.2344,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,4.2285,0.061000,0.054500,0.013700,0.091000,0.013500,0.1007,0.002300,0.006300,1.8556,1.8761,0.002300,0.011400,0.038200,0.7538,0.2775,0.1618,0.016300,0.003500,0.3686,0.023300,0.000600,0.002100,0.004400,0.2031,0.001700,0.000800,0.001900,0.015100,0.044400,0.3962,0.087600,0.001400,0.020800,0.001200,0.001300,0.098100,0.013100,0.000300,0.069300,3.2824,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0.097506,0,31,0,0,0.3423,0.4398,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6524,7666.8984,5565.2852,6279.2500,0,13232.1836,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1557,0.066500,0.073100,0.010200,0.090500,0.014300,0.056800,0.002100,0.007200,1.6611,1.6812,0.001500,0.007500,0.034900,1.5316,0.3211,0.1802,0.016000,0.004100,0.2791,0.028400,0.000500,0.002500,0.004000,0.2007,0.001200,0.000700,0.001800,0.013300,0.044000,0.2663,0.1616,0.001700,0.017900,0.001400,0.001700,0.1103,0.014200,0.000100,0,0,0,0,0,0,0,55,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,0,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.077594,0,14,0,0,0.2028,0.2804,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,55,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.2634,7666.8320,5565.2852,6279.2500,0,13232.1172,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1298,351,0,0.1487,0,0,0,0,0,0,0,0,0,0,0
,3.6429,0.067300,0.1060,0.011200,0.1006,0.015800,0.062500,0.002800,0.007000,1.8525,1.8739,0.001200,0.006200,0.036400,1.3832,0.2510,0.1730,0.015300,0.002900,0.5863,0.035500,0.001000,0.002900,0.004900,0.2808,0.002000,0.000900,0.002300,0.018800,0.056200,0.6286,0.2149,0.001800,0.025000,0.001500,0.002000,0.1129,0.013600,0.000200,0,1.9552,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,3,3,0,1,13,0,13,0,0,1,3,0,0,0,0,0,0,0,0.1682,0,31,0,0,0.5027,0.6709,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.8910,7666.6680,5565.2852,6279.2500,0,13231.9531,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1479,0.068600,0.046100,0.011600,0.1332,0.014700,0.066400,0.001700,0.007200,1.7808,1.8010,0.001000,0.007500,0.030600,1.1376,0.2253,0.1482,0.015200,0.002800,0.2311,0.025800,0.000600,0.002000,6.6187,6.8116,0.002000,0.001300,0.004200,0.021600,0.044900,0.3241,0.090000,0.001400,0.022400,0.001300,0.001500,0.095000,0.011600,0.000200,0,0,0,0,0,0,0,54,0,0,0,0,0,0,1,1,1,1,44,4,47,0,3,1,1,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0.091601,0,20,0,0,0.2669,0.3585,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,54,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.5143,7666.5117,5565.2852,6279.2500,0,13231.7969,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,0,0,0,6.6135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
,5.4916,0.069300,0.1133,0.010600,0.098100,0.015100,0.1085,0.002600,0.006700,1.8179,1.8422,0.001200,0.006100,0.035300,2.3263,0.2338,0.1424,0.015200,0.003100,0.4295,0.024800,0.000500,0.052900,0.004500,0.2465,0.001500,0.000700,0.002000,0.015400,0.050500,0.5386,0.2067,0.005300,0.020900,0.001600,0.001700,0.1195,0.011400,0.000100,0,3.0069,0,0,0,0,0,57,0,0,0,0,0,0,1,1,1,1,46,2,49,0,3,3,3,0,34,17,0,13,1,0,1,3,0,0,0,0,0,0,0,0.1185,0,30,0,0,0.4651,0.5836,0,1,2,2,12,1,1,1,1,1,1,1,2,4,2,4,2,2,4,1,1,6,1,1,57,25,240,329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0622,7666.2422,5565.2852,6279.2500,0,13231.5273,32.8811,0.4375,32.0039,0.000977,0.4387,0,0,13,1,0,0,0,1296,364,0,0.1434,2,0,0,0,0,0,0,0,0,0,0
