EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,Exclusive/GameThread/EventWait/PrePhysics,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,Ticks/GuLiCombatEffectReplicationComponent,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,FMsgLogf/FMsgLogfCount,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Ticks/PathFollowingComponent,Ticks/GameplayDebuggerPlayerManager,Exclusive/GameThread/LogFlush,Exclusive/GameThread/EventWait
,0.1920,0.072500,0.014300,0.1433,0.014800,0.032800,0.002400,0.008200,0.002900,0.027400,0.001600,0.006100,0.030400,0.3265,0.2646,0.2402,0.012900,0.2450,0.013200,0.000700,0.002600,11.0565,11.1472,0.001600,0.000700,0.000100,0.008400,0.039200,0.000200,0.002000,0.019900,0.001400,0.001800,0.6237,0.013800,0.000200,0.036600,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.7854,15879.3281,5467.1562,6235.7695,0,21346.4844,0,0,0,0.027500,10.8134,1,0,0,0,0,0,0,0,0,0,0
,6.7691,0.062700,0.011800,0.077400,0.012600,0.024500,0.001500,0.005400,0.002700,0.019100,0.001300,0.003400,0.021600,2.3891,0.2400,0.2806,0.012200,0.3331,0.013000,0.000800,0.010900,0.2476,0.3437,0.001400,0.000700,0.000100,0.007300,0.040200,0.000200,0.002500,0.019400,0.001200,0.001600,0.052700,0.015000,0.000100,4.0216,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.8407,15879.4023,5467.1562,6235.7695,0,21346.5586,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1401,0.069700,0.016700,0.079500,0.011000,0.027300,0.001800,0.006300,0.002700,0.022400,0.001200,0.004700,0.022100,0.3024,0.2463,0.2335,0.012800,0.2021,0.012100,0.000700,0.002600,0.2654,0.3513,0.000900,0.000700,0.000100,0.006100,0.034800,0.000200,0.001700,0.015100,0.001000,0.001300,0.048600,0.011900,0.000100,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.0919,15879.3984,5467.1562,6235.7695,0,21346.5547,0,0,0,0,0,0,412,303,0,0.078200,0,0,0,0,0,0
,6.5283,0.070100,0.013500,0.086700,0.012800,0.029900,0.002300,0.007900,0.002600,0.025400,0.001200,0.004700,0.024000,0.3354,0.2585,0.2513,0.013400,0.2898,0.012800,0.000700,0.002900,1.4098,1.4348,0.001400,0.000700,0.000100,0.006900,0.034600,0.000200,0.001800,0.017200,0.001300,0.001600,0.056100,0.014500,0.000100,5.8204,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.7253,15878.5234,5467.1562,6235.7695,0,21345.6797,0,0,0,0.075800,0,0,0,0,0,0,0,0,0,0,0,0
,0.1595,0.060200,0.012500,0.076700,0.013900,0.027600,0.001500,0.006100,0.003000,0.021900,0.001300,0.003900,0.021400,0.3128,0.2379,0.2377,0.012600,0.3065,0.012700,0.000600,0.002400,0.1820,0.2726,0.000900,0.000700,0.000100,0.005600,0.036300,0.000200,0.001600,0.015500,0.001100,0.002600,0.062300,0.011700,0.000100,0,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.1884,15881.7500,5467.1562,6235.7695,0,21348.9062,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,6.5695,0.066200,0.014500,0.089100,0.012700,0.034800,0.002300,0.008000,0.003600,0.028500,0.001400,0.004900,0.029100,0.3624,0.2613,0.2584,0.013700,0.3130,0.013000,0.000700,0.002800,0.2334,0.3325,0.001400,0.000700,0.000100,0.006500,0.036200,0.000200,0.001900,0.017300,0.001200,0.001700,0.050600,0.012600,0.000100,5.8794,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7063,15881.9062,5467.1562,6235.7695,0,21349.0625,0,0,0,0,0,0,412,302,0,0.078500,0,0,0,0,0,0
,0.1917,0.064900,0.013300,0.1366,0.013000,0.032500,0.001800,0.006800,0.003500,0.024300,0.001400,0.004500,0.023300,0.3225,0.2509,0.2448,0.013800,0.2255,0.012200,0.000500,0.002300,11.3147,11.3921,0.002000,0.000700,0.000300,0.008500,0.038700,0.000200,0.002300,0.018300,0.001100,0.001700,0.6182,0.013700,0.000100,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.7657,15881.7539,5467.1562,6235.7695,0,21348.9102,0,0,0,0.027400,11.0360,1,0,0,0,0,0,0,0,0,0,0
,7.0171,0.058300,0.012100,0.076900,0.012100,0.027300,0.001600,0.006200,0.002700,0.021000,0.001200,0.004100,0.023200,2.5159,0.2407,0.2389,0.012500,0.2996,0.013700,0.000900,0.012200,0.2756,0.3703,0.001100,0.000600,0.000100,0.006100,0.036700,0.000200,0.001900,0.017800,0.001100,0.001400,0.047200,0.013300,0.000100,4.1964,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.3419,15881.0977,5467.1562,6235.7695,0,21348.2539,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
,0.1665,0.055400,0.011600,0.080900,0.011400,0.034100,0.002100,0.007300,0.002900,0.025000,0.001200,0.005000,0.022300,0.3300,0.2952,0.2697,0.014300,0.2065,0.011300,0.000800,0.002700,0.2850,0.3961,0.001000,0.000500,0.000100,0.006700,0.059900,0.000100,0.001500,0.014400,0.001100,0.001500,0.039000,0.010200,0.000100,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10.7983,15880.7773,5467.1562,6235.7695,0,21347.9336,0,0,0,0,0,0,410,303,0,0.073700,0,0,0,0,0,0
,6.6600,0.064400,0.013200,0.096400,0.013000,0.029800,0.002500,0.007600,0.003100,0.026800,0.001000,0.004700,0.023100,0.3066,0.2491,0.2442,0.012900,0.2784,0.012400,0.000600,0.002400,1.4169,1.4526,0.001200,0.000900,0.000100,0.007600,0.037800,0.000200,0.001900,0.018200,0.001300,0.001500,0.051700,0.013200,0.000100,5.9390,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,2,4,2,2,4,6,1,1,43,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23.6841,15873.3711,5467.2188,6235.7695,0,21340.5898,0,0,0,0.066500,0,0,0,0,0,0,0,0,0,0,0,0
