EVENTS,Exclusive/AllWorkers/MassProcessorTask,Exclusive/GameThread/EngineTickMisc,Exclusive/GameThread/AsyncLoading,Exclusive/GameThread/WorldTickMisc,Exclusive/GameThread/Effects,Exclusive/GameThread/NetworkIncoming,NavigationBuildDetailed/GameThread/Navigation_RebuildDirtyAreas,NavigationBuildDetailed/GameThread/Navigation_TickAsyncBuild,NavigationBuildDetailed/GameThread/Navigation_CrowdManager,Exclusive/GameThread/NavigationBuild,Exclusive/GameThread/ResetAsyncTraceTickTime,Exclusive/GameThread/WorldPreActorTick,Exclusive/GameThread/QueueTicks,Exclusive/GameThread/TickActors,Exclusive/GameThread/Animation,Exclusive/GameThread/CharacterMovement,Exclusive/GameThread/MassProcessorTask,Exclusive/GameThread/EventWait/PrePhysics,Exclusive/GameThread/Physics,Exclusive/GameThread/SyncBodies,Exclusive/GameThread/FlushLatentActions,Exclusive/GameThread/TimerManager,GuLiCommanderAuthority/GameThread/WorldTick,Exclusive/GameThread/Tickables,Exclusive/GameThread/AIPerception,Exclusive/GameThread/EnvQueryManager,Exclusive/GameThread/Camera,Exclusive/GameThread/UpdateStreamingState,Exclusive/GameThread/NetworkOutgoing,Exclusive/GameThread/ServerReplicateActors,Networking/GameThread/UpdateUnmappedObjects,Exclusive/GameThread/RecordTickCountsToCSV,Exclusive/GameThread/RecordActorCountsToCSV,Exclusive/GameThread/UpdateLevelStreaming,Exclusive/GameThread/DeferredTickTime,Exclusive/GameThread/CsvProfiler,Exclusive/GameThread/LLM,FileIO/QueuedPackagesQueueDepth,FileIO/ExistingQueuedPackagesQueueDepth,NavTasks/NumRemainingTasks_RecastNavMesh-CommanderSoldier,NavTasks/NumRemainingTasks_RecastNavMesh-Default,Basic/TicksQueued,MassActors/NumSpawned,MassActors/NumPooled,ChaosPhysics/AABBTreeDirtyElementCount,ChaosPhysics/AABBTreeDirtyGridOverflowCount,ChaosPhysics/AABBTreeDirtyElementTooLargeCount,ChaosPhysics/AABBTreeDirtyElementNonEmptyCellCount,Replication/NumConnections,Replication/Connections,Replication/InPacketsClientAvg,Replication/InPacketsClientMax,Replication/NumberOfActiveActors,Replication/NumberOfFullyDormantActors,Replication/NumOpenChannels,Replication/NumSkippedObjectEmptyUpdates,Replication/NumTickingChannels,Replication/OutPacketsClientAvg,Replication/OutPacketsClientMax,Replication/SatConnections,Replication/SharedSerializationPropertyHit,Replication/SharedSerializationPropertyMiss,Replication/SharedSerializationRPCHit,Replication/SharedSerializationRPCMiss,Replication/OutgoingReliableMessageQueueMaxSize,Replication/IncomingReliableMessageQueueMaxSize,Replication/InPacketsPerFrame,Replication/OutPacketsPerFrame,Replication/InLostPacketsFoundPerFrame,Replication/OutLostPacketsFoundPerFrame,Replication/Ping,Replication/InRate,Replication/OutRate,Replication/InPacketsLost,Replication/OutPacketsLost,Replication/GatherPrioritizeTimeMS,Replication/NumClientUpdateLevelVisibility,Replication/NumReplicateActorCallsPerConAvg,Replication/OutKBytes,Replication/OutNetGUIDKBytesSec,Replication/ReplicateActorTimeMS,Replication/ServerReplicateActorTimeMS,Replication/AverageJitterInMS,Ticks/AIController,Ticks/AbstractNavData,Ticks/RecastNavMesh,Ticks/CameraComponent,Ticks/SkeletalMeshComponent,Ticks/SkyAtmosphere,Ticks/GuLiCommanderGameMode,Ticks/GuLiCombatEffectReplicationComponent,Ticks/GuLiCommanderWorldReplicationComponent,Ticks/GuLiConstructionVehiclePawn,Ticks/GuLiExternalCharacterMovementComponent,Ticks/GuLiMiningVehicleAIController,Ticks/GuLiMiningVehiclePawn,Ticks/GuLiResourceFactoryActor,Ticks/MassProcessingPhase,Ticks/StartPhysicsTick,Ticks/EndPhysicsTick,Ticks/Total,ActorCount/GuLiTerritoryOutpostActor,ActorCount/GuLiOreClusterObstacleActor,ActorCount/TotalActorCount,LevelStreaming/NumLevelsLoading,LevelStreaming/NumLevelsMakingVisible,LevelStreaming/NumLevelsMakingInvisible,LevelStreaming/NumLevelsPendingPurge,LevelStreamingProfiling/NumStreamingLevelsToConsider,RenderTargetPool/UnusedMB,RenderTargetPool/PeakUsedMB,RenderTargetPoolSize,RenderTargetPoolUsed,RenderTargetPoolCount,RDGCount/Passes,RDGCount/Buffers,RDGCount/Textures,IoDispatcher/PendingIoRequests,HttpManager/RequestsInQueue,HttpManager/MaxRequestsInQueue,HttpManager/RequestsInFlight,HttpManager/MaxRequestsInFlight,HttpManager/MaxTimeToWaitInQueue,HttpManager/DownloadedMB,HttpManager/BandwidthMbps,HttpManager/DurationMsAvg,FrameTime,MemoryFreeMB,PhysicalUsedMB,VirtualUsedMB,ExtendedUsedMB,SystemMaxMB,RHI/DrawCalls,RHI/PrimitivesDrawn,CsvProfiler/NumTimestampsProcessed,CsvProfiler/NumCustomStatsProcessed,CsvProfiler/NumEventsProcessed,CsvProfiler/ProcessCSVStats,Exclusive/GameThread/Pathfinding,GuLiCommanderAuthority/GameThread/FixedStep,Ticks/GameplayDebuggerPlayerManager,Ticks/PathFollowingComponent,Ticks/GuLiBuildingProductionComponent,Ticks/GuLiBuildingShieldComponent,Exclusive/GameThread/EventWait,FMsgLogf/FMsgLogfCount
,1.5919,0.069000,0.011000,0.077300,0.010800,0.028500,0.002200,0.006500,0.002800,0.024400,0.001100,0.003400,0.022500,0.2995,0.2386,0.3738,0.014900,0.8969,0.2984,0.014400,0.000900,0.002500,0.004700,0.1180,0.001100,0.000600,0,0.006500,0.034400,0.000200,0.001800,0.015300,0.001300,0.001600,0.047000,0.012700,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.0519,15566.4961,5445.4062,6208.8594,0,21011.9023,0,0,454,396,0,0.1037,0,0,0,1,0,0,0,0
,0.1284,0.066400,0.013400,0.093000,0.012500,0.032600,0.002500,0.008100,0.003000,0.026400,0.001300,0.004200,0.023900,0.2870,0.2713,0.3612,0.013300,0,0.2120,0.014000,0.000700,0.002200,2.3309,2.4344,0.001200,0.001200,0.000100,0.006400,0.038200,0.000200,0.001900,0.016000,0.001200,0.001400,0.049900,0.014300,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0211,15566.5352,5445.4062,6208.8594,0,21011.9414,0,0,0,0,0,0,0,2.3267,0,1,0,0,0,0
,1.6366,0.060500,0.011800,0.075900,0.011400,0.026100,0.001800,0.006300,0.002600,0.022200,0.001000,0.003300,0.026600,0.6257,0.2330,0.3555,0.012100,0.6951,0.3920,0.018300,0.000700,0.011000,0.004300,0.093900,0.001100,0.000700,0.000100,0.007100,0.044400,0.000100,0.001900,0.016700,0.001400,0.001400,0.054800,0.012800,0.000200,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.4314,15566.5352,5445.4062,6208.8594,0,21011.9414,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0.1187,0.070400,0.026300,0.067000,0.010800,0.025200,0.001800,0.006000,0.002600,0.020700,0.000900,0.003300,0.019800,0.2801,0.2233,0.3593,0.014000,0,0.2278,0.014900,0.000700,0.002500,0.003400,0.097500,0.000900,0.000500,0.000100,0.005700,0.033300,0.000100,0.001500,0.027000,0.001300,0.001900,0.074300,0.012700,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.0751,15566.6523,5445.4062,6208.8594,0,21012.0586,0,0,408,305,0,0.079700,0,0,0,1,0,0,0,0
,1.7087,0.063700,0.014200,0.075700,0.011900,0.029900,0.002500,0.007400,0.003100,0.025100,0.001300,0.003800,0.022400,0.3093,0.2626,0.4054,0.013600,0.8955,0.4375,0.017900,0.000800,0.002400,0.004500,0.1025,0.000900,0.000700,0,0.006400,0.036300,0.000100,0.001700,0.015600,0.001400,0.001400,0.047200,0.012900,0.000100,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.0557,15566.6523,5445.4062,6208.8594,0,21012.0586,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0.1006,0.056100,0.012100,0.093100,0.010900,0.026100,0.001800,0.006200,0.002500,0.022000,0.001100,0.003400,0.021200,0.2917,0.2261,0.3364,0.032600,0.064100,0.2353,0.015500,0.000600,0.002000,0.006900,0.1869,0.001200,0.000700,0.000200,0.007200,0.037600,0.000200,0.001800,0.017600,0.001400,0.001400,0.048400,0.013400,0.000100,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.1309,15567.1758,5445.4062,6208.8594,0,21012.5820,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,2.0159,0.068900,0.013600,0.089200,0.013100,0.031900,0.002200,0.007500,0.003500,0.026400,0.001300,0.004600,0.026200,0.3809,0.2990,0.3965,0.017000,1.1468,0.4285,0.020100,0.001100,0.003200,0.005500,0.1166,0.001200,0.006000,0.000100,0.007600,0.040200,0.000100,0.002000,0.019400,0.001500,0.001700,0.054100,0.014200,0.000200,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.9462,15572.5938,5445.4062,6208.8594,0,21018,0,0,406,305,0,0.077600,0,0,0,1,0,0,0,0
,0.1714,0.074900,0.017700,0.097500,0.013500,0.039600,0.003100,0.009600,0.003700,0.031600,0.001500,0.004700,0.031400,0.3588,0.2993,0.4941,0.018500,0,0.2811,0.018800,0.000800,0.002900,2.8630,2.9910,0.001400,0.000700,0.000100,0.007600,0.041000,0.000100,0.002300,0.018100,0.001700,0.001600,0.053000,0.020100,0.000200,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.3121,15572.5938,5445.4062,6208.8594,0,21018,0,0,0,0,0,0,0,2.8576,0,1,0,0,0,0
,1.8428,0.069000,0.014700,0.097600,0.013200,0.029200,0.002300,0.007200,0.003400,0.026700,0.001500,0.003900,0.025000,0.7156,0.2597,0.3912,0.015900,0.8160,0.4599,0.018900,0.000700,0.012600,0.004900,0.1168,0.001100,0.000800,0.000100,0.007000,0.092600,0.000300,0.003900,0.020900,0.001500,0.001800,0.052700,0.014100,0.000200,0,0,0,0,45,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,1,1,2,4,2,2,4,6,1,1,45,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.7100,15572.7188,5445.4062,6208.8594,0,21018.1250,0,0,0,0,0,0,0,0,0,1,0,0,0,0
,0.1767,0.086600,0.018800,0.1085,0.015300,0.048000,0.003000,0.010500,0.004500,0.036900,0.001800,0.006600,0.034700,0.4650,0.3576,0.5331,0.021500,0.069900,0.4841,0.022200,0.000700,0.003300,0.006000,0.1242,0.001300,0.000900,0.000100,0.008700,0.048300,0.000100,0.002300,0.021300,0.001600,0.003200,0.081300,0.015300,0.000200,0,0,0,0,44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,2,1,12,1,1,0,1,2,4,2,2,4,6,1,1,44,25,240,324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2072,15572.5820,5445.4062,6208.8594,0,21017.9883,0,0,405,305,0,0.084000,0,0,0,1,0,0,0,0
